PROLIFIC_PID,chart,question,sketchImage,tag,designGuidelines
613b7cf2f368095595aa6ef2,CC,CCQ3,CCQ3_R_2tG8SYcIBgA5kDO.png,,
61561c859a3024c925ed6577,CC,CCQ3,CCQ3_R_2usVboBLenuLnIr.png,,
5e8a0912524dca6ad71ecb86,CC,CCQ3,CCQ3_R_2vibkPXKuGIL5X3.png,,
5ee942381a22491bbb7170f8,CC,CCQ3,CCQ3_R_31ithWUoUPqbdpq.png,,
60fcd2ade28cc412d542108c,CC,CCQ3,CCQ3_R_3iKFSnDQzUcHnGw.png,,
6492fd86ee1c49dd5b81f5d1,CC,CCQ3,CCQ3_R_3s6RslBqsPZaa1W.png,,
5efc7c87ae067d024d35278b,CC,CCQ3,CCQ3_R_9Sm7aYcqyZMSAYV.png,,
612e780e6c97ea0e89274e66,CC,CCQ3,CCQ3_R_At8yObFnJLQmis1.png,,
6126d91f511f195f9a4cc4d0,CC,CCQ3,CCQ3_R_AuQN0TuH6dR20bT.png,,
615ef30bdf0762beb8b39c54,CC,CCQ3,CCQ3_R_V3ghYhQJGQ3kaCl.png,,
6035df9a667e939fb20a44ac,CC,CCQ3,CCQ3_R_cZmP0ehwZK7h5oR.png,,
5f316280965ec564c886f978,HC2,HC2Q1,HC2Q1_R_3qQAR2xQT3uOAcQ.png,,
5f35ea51f0cfd606d35d01e5,HC2,HC2Q1,HC2Q1_R_AvUNtbl4FEhPC4V.png,,
615da9ee365ab7d547b98979,HC2,HC2Q2,HC2Q2_R_115SuwIUREqf0Yy.png,,
6170c9123edfc3ee296cda22,HC2,HC2Q2,HC2Q2_R_11b7HTQca4PVNK4.png,,
6160ccb0810a73f90ef4c5e7,HC2,HC2Q2,HC2Q2_R_1rdMpxhaWQssQbz.png,,
5f95155d7ae37e0009ed42ac,HC2,HC2Q2,HC2Q2_R_2PoEpODhT9h1C2w.png,,
60b3f53a252916ee202539f5,HC2,HC2Q2,HC2Q2_R_3GjoZDkUfL4duh6.png,,
5f316280965ec564c886f978,HC2,HC2Q2,HC2Q2_R_3qQAR2xQT3uOAcQ.png,,
6492fd86ee1c49dd5b81f5d1,HC2,HC2Q2,HC2Q2_R_3s6RslBqsPZaa1W.png,,
5f35ea51f0cfd606d35d01e5,HC2,HC2Q2,HC2Q2_R_AvUNtbl4FEhPC4V.png,,
5e84fe873e0ebd0d3b103df2,HC2,HC2Q2,HC2Q2_R_R2L73Yf0TSvr2yB.png,,
